id,DDH_id,name,active,x,y,address,phone
DDHKHH001,KS14,台鐵新左營站,Y,120.304577,22.687392,高雄市左營區站前南路9巷旁,226550818
DDHTPC001,TP168,內湖堤頂2站,Y,121.56532,25.079212,台北市內湖區堤頂大道二段293號B1.B3,(02)2657-9160
DDHTPC002,TP225,內湖瑞湖站,Y,121.57619,25.07462,台北市內湖區瑞湖街15號B1-B3,(02)2659-4932
DDHTPC003,TP242,寧夏站,N,121.514925,25.061649,台北市大同區民權西路160巷26弄108號 (近寧夏路),(02)2557-5349
DDHTPC004,TP320,台大長興站,Y,121.544556,25.017069,台北市大安區基隆路三段75號B1~B2,(02)2732-1710
DDHTPC005,TP226,內湖瑞光站,Y,121.56741,25.08039,台北市內湖區瑞光路585號B2-B5,(02)8751-3437
DDHKEL001,KE06,基隆信二站,Y,121.7458,25.130877,基隆市中正區信二路299號1F~15F,(02)2425-2331
DDHTPC006,TP326,市府轉運站大樓站,Y,121.564493,25.040884,台北市信義區忠孝東路五段6號B1~B5 (忠孝東路與基隆路口之東南側),(02)2723-7526
DDHTPC007,TP269,敦南誠品站,Y,121.549579,25.038888,台北市大安區敦化南路一段247巷1號B4-B5,(02)8773-8670
DDHTPC008,TP321,台大水源站,Y,121.530004,25.0137,台北市中正區思源街16號B1-B2,(02)2368-5576
DDHTPH001,TP123,三重天台站,Y,121.497226,25.061916,新北市三重區重新路二段78號B3-B4 (天台廣場),(02)2972-3067
DDHTAY001,TY40,桃園新埔站,Y,121.300274,25.01885,桃園市桃園區南平路與新埔六街交叉口,(03)358-7590
DDHTNN001,TN02,台南置地廣場站,Y,120.199014,22.988529,台南市中西區和意路1號B1-B3、B5-B7停車場,(06)214-4303
DDHTPC009,TP14,天祥站,N,121.520716,25.063446,台北市中山區民權西路53號,(02)2599-3309
DDHTPC010,TP284,大葉高島屋站,Y,121.531865,25.112453,台北市士林區忠誠路二段55號B2.B3.B5~11F汽車停車場,(02)2834-6149
DDHTAC001,TC56,台中一中站,Y,120.686507,24.149015,台中市北區育才街9號旁,(02)2655-0818
DDHTNN002,TN07,成大勝利站,Y,120.218124,22.996459,台南市東區大學路2號B1~B3,(06)200-6429
DDHTPC011,TP11,市府站,N,121.565834,25.04221,台北市信義區忠孝東路五段15巷15號,(02)2749-4735
DDHTPC012,TP278,家樂福大直站,Y,121.558093,25.082488,台北市中山區樂群三路218號B1~B4,(02)8502-2514
DDHTPC013,TP264,天母西站,Y,121.526109,25.117852,台北市士林區天母西路38巷3號旁,226550818
DDHTPC014,TP175,京華城站,Y,121.562979,25.047813,台北市松山區東寧路21號旁,(02)2655-0818
DDHTPC015,TP330,敦南3站,Y,121.550947,25.030953,台北市大安區敦化南路二段63巷41號旁,226550818
DDHTPH002,TP331,新店高中站,Y,121.534201,24.974069,新北市新店區三民路161號B1 (新店高中後門),(02)2918-9757
DDHTPC016,TP325,通化夜市1站,Y,121.552439,25.02783,台北市大安區通化街與通化街171巷交叉口,226550818
DDHTPC017,TP305,饒河夜市2站,Y,121.570927,25.050831,台北市松山區塔悠路36號旁,226550818
DDHTPC018,TP223,新士林夜市站,Y,121.522629,25.090166,台北市士林區基河路150號對面,(02)2655-0818
DDHTPC019,TP266,士林基河站,Y,121.521112,25.091116,台北市士林區基河路240巷10號對面,226550818
DDHTPC020,TP261,士林福林1站,Y,121.527472,25.092563,台北市士林區中山北路五段465號,226550818
DDHTNN003,TN05,高鐵台南3站,Y,120.284787,22.925216,台南市歸仁區歸仁大道100號 (P3汽車停車場),(06)602-2619
DDHKHH002,KS11,高鐵左營1站,Y,120.307402,22.677088,高雄市左營區高鐵路103號 (P1立體停車場),(07)960-9939
