"","id","name","feature","subfeature"
"1","node/569951362",NA,"shop","vacant"
"2","node/1501340079",NA,"shop","convenience"
"3","node/1501340099",NA,"shop","convenience"
"4","node/2406793658","全家","shop","convenience"
"5","node/2638283930","7-11","shop","convenience"
"6","node/3417105784","燦坤","shop","electronics"
"7","node/3568469799","全家外貿店","shop","convenience"
"8","node/3690933419","全家便利商店","shop","convenience"
"9","node/3700532672","米塔手感烘焙","shop","bakery"
"10","node/3700536512","全家便利商店","shop","convenience"
"11","node/3700536514","7-Eleven","shop","convenience"
"12","node/3700536515","全家","shop","convenience"
"13","node/3702125246","詩肯柚木","shop","furniture"
"14","node/3704049685","義威德名廚","shop","furniture"
"15","node/3704049690","7-Eleven","shop","convenience"
"16","node/3704049692","喬儷進口百貨","shop","variety_store"
"17","node/3705848846","Power Sleep","shop","furniture"
"18","node/3706324841","臺灣彩券","shop","lottery"
"19","node/3707807809","紘鉅","shop","furniture"
"20","node/3707807810","巨輪家具","shop","furniture"
"21","node/3707807811","和廷","shop","furniture"
"22","node/3707807813","大榕樹家飾","shop","furniture"
"23","node/3707807817","少將OA空間規劃","shop","furniture"
"24","node/3707807818","溫馨家具II","shop","furniture"
"25","node/3707807824","禾木","shop","furniture"
"26","node/3707809825","溫馨家具I","shop","furniture"
"27","node/3711361602","松茂文具印刷","shop","stationery"
"28","node/3711361603","CoCo","shop","beverages"
"29","node/3711361609","玩襪小舖","shop","clothes"
"30","node/3711361612","巧芝別克","shop","bakery"
"31","node/3887825435","全家","shop","convenience"
"32","node/3887825767","7-Eleven","shop","convenience"
"33","node/4018205780","永名文具","shop","stationery"
"34","node/4018209501","標準金商","shop","jewelry"
"35","node/4298923840","樂菲有機超市","shop","supermarket"
"36","node/4325693439","全聯福利中心","shop","supermarket"
"37","node/4325693891","情人花屋","shop","florist"
"38","node/4524863649","OK便利商店","shop","convenience"
"39","node/4524864513","聯誠眼鏡","shop","optician"
"40","node/569950704","Honey Pig","amenity","restaurant"
"41","node/569951361","Starbucks","amenity","cafe"
"42","node/708991599","Mister Donut","amenity","fast_food"
"43","node/708991600","McDonald's","amenity","fast_food"
"44","node/1503664837",NA,"amenity","parking_en"
"45","node/1924424424","Findbook.TW, Ecowork Inc.","amenity","office"
"46","node/2166594039","DaDing Cusine","amenity","restaurant"
"47","node/2178510631","周董燒肉飯","amenity","restaurant"
"48","node/2404385735",NA,"amenity","cafe"
"49","node/2406793659","Spaggo - Pasta House","amenity","restaurant"
"50","node/2407130770","小歇","amenity","restaurant"
"51","node/2407901301","老虎醬溫州大餛飩","amenity","restaurant"
"52","node/2407901311","愛馬麗世貿場","amenity","parking"
